Person,count,relevance (y/n/unsure),Categories,full name
Sara Cunial,26,y,Politics,Sara Cunial
Sarah Ruth Ashcraft,24,y,Entertainment,Sarah Ruth Ashcraft
Satan,74,y,Religion,Satan
Schumer,31,y,Politics,Chuck Schumer
Scott Atlas,27,y,Science,Scott Atlas
Scott Jensen,28,y,Politics,Scott Jensen
Scott Morrison,39,y,Politics,Scott Morrison
Seth Rich,100,y,Law and law enforcement,Seth Rich
Sherri Tenpenny,22,y,Activism,Sherri Tenpenny
Shiva Ayyadurai,63,y,Conspiracy Theory,Shiva Ayyadurai
Sidney Powell,27,y,Law and law enforcement,Sidney Powell
Simone Gold,23,y,Science,Simone Gold
Simpsons,60,y,,
Sleepy Joe,62,y,,Joe Biden
Snowden,33,y,Activism,Edward Snowden
Solomon,80,y,Religion,Solomon
Soros,627,y,Business,George Soros
Spiro Skouras,61,y,Entertainment,Spiro Skouras
Stalin,23,y,Politics,Joseph Stalin
Stanley Plotkin,35,y,Science,Stanley Plotkin
Stefan Lanka,50,y,Science,Stefan Lanka
Stella Immanuel,43,y,Science,Stella Immanuel
Steve Jobs,30,y,Business,Steve Jobs
Susan Rice,23,y,Politics,Susan Rice
Suzanne Humphries,41,y,science,Suzanne Humphries
Taylor Swift,30,y,Entertainment,Taylor Swift
Ted Cruz,35,y,Politics,Ted Cruz
Ted Gunderson,45,y,Literature,Ted Gunderson
Then Jonathan,29,y,Religion,
Thomas Cowan,50,y,Literature,Thomas Cowan
Thomas Jefferson,84,y,Politics,Thomas Jefferson
Timothy,230,y,unsure,Saint Timothy
Tom Barnett,34,y,Politics,Tom Barnett
Tom Hanks,276,y,Entertainment,Tom Hanks
Tony Podesta,39,y,Politics,Tony Podesta
Trudeau,99,y,Politics,Justin Trudeau
Trump,5991,y,Politics,Donald Trump
Tucker Carlson,78,y,Media and journalism,Tucker Carlson
Vernon Coleman,23,y,Entertainment,Vernon Coleman
Vicente López,35,y,,
Vittorio Sgarbi,27,y,Politics,Vittorio Sgarbi
Vladimir Putin,44,y,Politics,Vladimir Putin
Warren Buffett,24,y,Business,Warren Buffett
Will Smith,45,y,Entertainment ,Will Smith
William Barr,43,y,Law and law enforcement,William Barr
William Cooper,72,y,Entertainment,William Cooper
William S. Smith,26,y,Politics,William S. Smith
William Thompson,28,y,Literature,William Thompson
Yahawah,1447,y,unsure,"means ""I exist"""
Yahawashi,184,y,Religion,Yahawashi
Yahweh,109,y,Religion,Yahweh
yelawolf,46,y,Entertainment ,Yela Wolf
Yeshua,89,y,Religion,
Yuri Bezmenov,25,y,Media and journalism,Yuri Bezmenov
Zechariah,74,y,Religion,Zechariah
Zuckerberg,68,y,Business,Mark Zuckerberg
